productname,description,ratingscount,overall_ratings,image,price,url
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","About this item
12+2+2MP triple rear camera (12MP main camera+2MP macro lens+2MP depth camera) with Portrait bokeh, macro lens, dazzle color mode, AI beautification | 8MP front camera
16.5 centimeters (6.5-inch) waterdrop multi touch screen with an 89% screen to body ratio | 1600 x 720 pixels resolution, 269 ppi pixel density
Memory, Storage & SIM: 6GB RAM | 128GB internal memory expandable up to 256GB | Dual SIM (nano+nano) dual-standby (4G+4G)
Android Pie v9.0 based on ColorOS 6.1 operating system with 2.3GHz Mediatek 6765 octa core processor, IMG GE8320
4230mAH lithium-polymer battery providing talk-time of 45 hours and standby time of 450 hours
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
Box also includes: USB cable, Sim tray ejecter, pre-applied screen protector and protective case, booklet with warranty card and quick guide. The box does not include earphones

›
See more product details","12,329 ratings",4.2 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61IhTtJUXJL._SL1500_.jpg,"₹ 10,990.00",https://www.amazon.in/dp/B08444SXZ6
"OPPO A31 (Lake Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","About this item
12+2+2MP triple rear camera with portrait bokeh, macro lens, dazzle color mode, AI beautification | 8MP front camera with AI beautification
16.5 centimeters (6.5 Inch) waterdrop capacitive multi touchscreen with an 89% screen to body ratio | 1600 x 720 pixels resolution, 269 ppi pixel density
Memory, Storage & SIM: 4GB RAM | 64GB internal memory expandable up to 256GB | Dual SIM (nano+nano) dual-standby (4G+4G)
ColorOS 6.1 operating system based on Android Pie v9.0 with 2.3GHz Mediatek P35 6765 octa core processor, MG GE8320 GPU
4230mAh lithium-polymer battery providing talk-time of 45 hours and standby time of 450 hours
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
Box also includes: USB cable, sim tray ejector, pre-applied screen protector and protective case, booklet with warranty card and quick guide

›
See more product details","12,329 ratings",4.2 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71AHtKejSlL._SL1500_.jpg,"₹ 9,990.00",https://www.amazon.in/dp/B089MV4H2W
"Samsung Galaxy M11 (Violet, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","About this item
6.4-inch (16.24 centimeters) infinity-O display, HD+ capacitive multi-touch touchscreen with 720 x 1520 pixels resolution, 270 ppi | 16M color support
Android v10.0 operating system with 1.8GHz Qualcomm | SDM450-F01 octa core process
5000mAH lithium-ion battery
Memory, Storage & SIM: 4GB RAM | 64GB internal memory expandable up to 512GB | Dual SIM (nano+nano) dual-standby (4G+4
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase

›
See more product details",735 ratings,4.1 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/713asoeJn7S._SL1500_.jpg,"₹ 8,999.00",https://www.amazon.in/dp/B086KCC68B
"Lava Z6 Aqua Blue, 6GB RAM, 64GB Storage, Regular","About this item
Dream big with 6GB RAM and 64GB ROM
Powerful 2.3 GHz MediaTek Helio G35 Octa-core chipset (Hyoer-engine powered for enhanced gaming performance)
Best-in-class 16MP selfie camera
13+5+2 MP AI Triple Camera with Beauty mode, Bokeh Mode, Night Mode, HDR Mode, Burst Mode, AI Scene Detection
Bloatware-free Stock Android 10 OS – Let’s you go the extra mile
6.5” HD+ water-drop notch display with Corning Gorilla Glass 3 protection
5000mAh battery (non-removable), Face Unlock & Finger Print sensor

Military grade certified durability standards
1 Year Handset Warranty and 6 Months Warranty on Accessories
The Box does not contain earphones; Camera description: Front; Display type: LCD


Show More",332 ratings,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71QGVjsVNRL._SL1500_.jpg,"₹ 10,299.00",https://www.amazon.in/dp/B08S3KK2QJ
