productname,description,ratingscount,overall_ratings,image,price,url
Redmi 9A (Sea Blue 3GB RAM 32GB Storage)| 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"About this item
13MP rear camera with AI portrait, AI scene recognition, HDR, pro mode | 5MP front camera
16.58 centimeters (6.53 inch) HD+ multi-touch capacitive touchscreen with 1600 x 720 pixels resolution, 268 ppi pixel density and 20:9 aspect ratio
Memory, Storage & SIM: 3GB RAM, 32GB internal memory expandable up to 512GB | Dual SIM (nano+nano) + Dedicated SD card slot
Android v10 operating system with upto 2.0GHz clock speed Mediatek Helio G25 octa core processor
5000mAH lithium-polymer large battery with 10W wired charger in-box
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
Box also includes: Power adapter, USB cable, sim eject tool, warranty card and user guide

›
See more product details","43,277 ratings",4.2 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71sxlhYhKWL._SL1500_.jpg,"₹ 7,499.00",https://www.amazon.in/dp/B086973W9M
Redmi 9A(Midnight Black 3GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"About this item
13MP rear camera with AI portrait, AI scene recognition, HDR, pro mode | 5MP front camera
16.58 centimeters (6.53 inch) HD+ multi-touch capacitive touchscreen with 1600 x 720 pixels resolution, 268 ppi pixel density and 20:9 aspect ratio
Memory, Storage & SIM: 3GB RAM, 32GB internal memory expandable up to 512GB | Dual SIM (nano+nano) + Dedicated SD card slot
Android v10 operating system with upto 2.0GHz clock speed Mediatek Helio G25 octa core processor
5000mAH lithium-polymer large battery with 10W wired charger in-box
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
Box also includes: Power adapter, USB cable, sim eject tool, warranty card and user guide

›
See more product details","43,277 ratings",4.2 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71sxlhYhKWL._SL1500_.jpg,"₹ 7,499.00",https://www.amazon.in/dp/B08697KLZP
"Micromax X741 (Grey Ultra Bright LED Light, 1750mAh)","About this item
Ultra Bright Torch
Dual Sim
Video Player & Music Player
Auto Call recording Folder Wise

›
See more product details","2,454 ratings",3.8 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/81f6ZhzM7%2BL._SL1500_.jpg,"₹ 1,990.00",https://www.amazon.in/dp/B07WWLQM8Q
